lat,lng,Speed,Time,,,,,Speed
34.00159567,71.4859746,0,6:39:00 PM,,,,,0
34.00159567,71.4859746,0,  6:40:00 PM,,,,,0
34.00151723,71.48594581,0,  6:40:00 PM,,,,,0
34.00151723,71.48594581,2,6:40:00 PM,,,,,2
34.00160934,71.48590971,2,  6:40:00 PM,,,,,2
34.00184297,71.48587183,5, 6:41:00 PM,,,,,5
34.00187655,71.48565391,12, 6:41:00 PM,,,,,12
34.00187144,71.48532461,12,  6:41:00 PM,,,,,12
34.0018862,71.48512925,7,6:41:00 PM,,,,,7
33.99781023,71.48776256,37, 6:42:00 PM,,,,,37
33.99778318,71.4885186,34,  6:42:00 PM,,,,,34
33.99769493,71.49028372,36,  6:43:00 PM,,,,,36
33.99768609,71.49113202,8,  6:43:00 PM,,,,,8
33.99777531,71.49142105,6, 6:44:00 PM,,,,,6
33.99757716,71.49120394,9,  6:44:00 PM,,,,,9
33.9975407,71.49041316,28,6:44:00 PM,,,,,28
33.99758932,71.48961822,32,6:44:00 PM,,,,,32
33.99759626,71.48916284,14,6:45:00 PM,,,,,14
33.99779755,71.48381415,36, 6:45:00 PM,,,,,36
33.9979148,71.48198367,40,  6:46:00 PM,,,,,40
33.99808396,71.48022983,38,  6:46:00 PM,,,,,38
33.99815147,71.47912069,40,  6:46:00 PM,,,,,40
33.9982,71.47538,39,  6:46:00 PM,,,,,39
33.99826067,71.47388723,33,6:46:00 PM,,,,,33
33.99814,71.47277,27,6:46:00 PM,,,,,16
33.99806345,71.47176126,12,  6:47:00 PM,,,,,6
33.99796841,71.47124755,10,6:47:00 PM,,,,,4
33.99782,71.47056,7,6:47:00 PM,,,,,2
33.99786245,71.47012109,5, 6:48:00 PM,,,,,2
33.99772202,71.46951722,6, 6:48:00 PM,,,,,6
33.99767,71.46886,18,6:49:00 PM,,,,,18
33.99758056,71.46812899,29,6:49:00 PM,,,,,29
33.99739874,71.46641469,39,  6:49:00 PM,,,,,39
33.99698864,71.46422621,29, 6:49:00 PM,,,,,29
33.99532583,71.45849242,47,  6:50:00 PM,,,,,47
33.99341024,71.45749108,57, 6:50:00 PM,,,,,57
33.99235655,71.45716109,16, 6:51:00 PM,,,,,16
33.99206562,71.45663963,23, 6:51:00 PM,,,,,23
33.99159668,71.45621005,36,6:51:00 PM,,,,,36
33.99046827,71.45526373,35, 6:51:00 PM,,,,,35
33.98988141,71.45470823,37,6:51:00 PM,,,,,37
33.98931951,71.45415849,41,6:52:00 PM,,,,,41
33.98803552,71.45293606,42, 6:52:00 PM,,,,,42
33.98587667,71.45088331,52,  6:52:00 PM,,,,,52
33.9841513,71.44852278,47,  6:52:00 PM,,,,,47
33.98184349,71.44675992,46,6:53:00 PM,,,,,46
33.98111341,71.4463352,45,6:53:00 PM,,,,,45
33.98004,71.44558,30,6:53:00 PM,,,,,30
33.9793,71.44519,18,6:53:00 PM,,,,,18
33.97895,71.44569,15,6:53:00 PM,,,,,15
33.97842493,71.44610291,10,  6:54:00 PM,,,,,10
33.97807235,71.4464525,4,  6:54:00 PM,,,,,4
33.97787,71.4467,2,  6:54:00 PM,,,,,2
33.97779,71.44675,3,  6:54:00 PM,,,,,3
33.9774861,71.44656113,10,6:54:00 PM,,,,,6
33.97632056,71.44567478,25, 6:55:00 PM,,,,,25
33.97534913,71.4450762,31, 6:55:00 PM,,,,,31
33.97469206,71.44464758,44,6:55:00 PM,,,,,44
33.97385508,71.44408133,47, 6:55:00 PM,,,,,47
33.97206338,71.44285415,32, 6:55:00 PM,,,,,32
33.97161007,71.44259573,18, 6:56:00 PM,,,,,18
33.97111572,71.44349956,26,  6:56:00 PM,,,,,26
33.97048205,71.44490527,24, 6:56:00 PM,,,,,24
33.97025616,71.44575426,18, 6:56:00 PM,,,,,18
33.9693696,71.44786288,16, 6:57:00 PM,,,,,16
33.96930401,71.44820282,5,6:57:00 PM,,,,,5
33.96922373,71.44845431,11,6:58:00 PM,,,,,11
33.9691997,71.44853096,3, 6:58:00 PM,,,,,3
33.96921274,71.4484772,0, 6:58:00 PM,,,,,0
